,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,2157.558208835089,-36.63795076695794,0.0,-3072.3545859731466,190.56027319204023,0.02398021136861767,54.80757937972766,120.69027129764316,65.1220816258659,10.0,18.3,2165.208518313422,-33.00468670108104,0.0,-3290.411472147815,197.96436807964662,7.198308334715956,56.138400439990164,102.72883382219437,82.4184091089285
1,10.0,18.3,2013.5619486544736,-35.6532728945265,0.0,-2901.346569643254,179.9260339542509,-0.38234084971658827,50.588168968483615,106.1572139929785,74.43790763805141,10.0,18.3,2030.2677108998516,-33.57296923997427,0.0,-3221.3851654749064,193.89294051529637,-10.71716927980563,50.970431045416206,89.4458833952724,90.88058047796002
2,10.0,18.3,1937.9418785249686,-35.726095531752705,0.0,-2689.9394645683174,166.72733406100383,16.251918320608272,47.66926870430506,96.36199492147651,87.34699810623037,10.0,18.3,1938.2929224932238,-32.637516347162816,0.0,-2924.920361089621,177.81771177127877,-10.276476839110973,45.95769070480153,79.30982111286102,78.76161116881207
3,10.0,18.3,1888.1487900152295,-35.46095811865951,0.0,-2396.176839289771,151.58610375309524,21.634608316907176,48.492390620174774,93.05957055109178,77.80975201578784,10.0,18.3,1884.21527249225,-34.267092572652516,0.0,-2636.7738179364706,164.61050164712952,-7.252167057327472,41.6044128311916,77.16177635897382,79.84648235287908
4,10.0,18.3,1868.8951630033755,-34.82014793388451,0.0,-2215.801396590532,142.73438464303962,15.929488641283188,48.989351217126845,88.00133682461427,69.41738562032766,10.0,18.3,1852.0813667323328,-34.22265499128393,0.0,-2553.6228795910934,159.94612496310467,-4.417776555515996,41.110726597879335,74.85671551382696,84.8394142780183
5,10.0,18.3,1847.1778093822447,-34.6709400020376,46.57167000823024,-2152.8293664714292,140.30754801639546,16.726318655746052,45.628474037963755,86.57460891113251,81.48500915076961,10.0,18.3,1841.5271893304262,-33.72991113571784,0.0,-2515.2857224448726,158.16193850825417,-4.5471317249693275,41.49194088995049,77.63784830666633,89.71886872775947
6,10.0,18.3,1954.3350403148963,-34.31125200884407,71.30691000176824,-2072.7921998439447,135.6817586125898,14.801104873741103,41.72136308489609,80.15354908359126,75.98006421559623,10.0,18.3,1854.4789265891584,-33.82238676491651,33.157792886399186,-2121.8355967071548,138.21715169951938,2.4349203676798536,44.890957569084456,76.48666418573453,67.73300178372064
7,10.0,18.3,2210.768009187608,-36.88636332109267,117.31707924691162,-1877.3682104227312,124.45160217330461,12.010203499306288,54.9591242233895,75.17736019933295,71.49872230469629,10.0,18.3,1953.1905415410456,-37.1262214617392,105.91825371018362,-1976.1398506613373,131.02874293390067,7.2979483067333835,48.29114874696099,75.55569824980569,73.40698251345472
8,10.0,18.3,2362.2607886418123,-36.040005438611026,0.0,-2000.6125122108779,129.7223945067392,18.522390624824897,65.37370861521198,80.6804300573744,64.35816415768491,10.0,18.3,2051.036517465179,-39.38243411213293,0.0,-2398.631625061062,150.63529096852594,4.82382344349523,61.98505546408297,83.6115673378575,100.17966040005534
9,10.0,18.3,2381.616457654597,-33.11058385440937,0.0,-2355.500135017622,147.24046370567103,33.62852975673386,80.02236538662287,97.09317825365383,81.8316732975212,10.0,18.3,2133.7949737200747,-36.19514844664165,0.0,-2818.8961386476567,168.7147182948384,14.950810388715656,82.82511273321546,97.0148927548386,103.2004223200855
10,10.0,18.3,2380.1187497573724,-31.576212418540205,0.0,-2560.712212607184,158.0213868812674,62.703276183803304,104.24119874949281,116.51942427045299,110.43507812006743,10.0,18.3,2199.398669070983,-36.32919985085682,0.0,-3401.1101857419844,195.7660698733483,29.427658985974357,105.35239189616794,121.82638818444619,127.26993763096873
11,10.0,18.3,2369.0348655906446,-27.377555296555876,0.0,-2813.325898438992,169.42647160421558,79.62882295590006,122.4857656574701,138.51265806402182,129.73069864777185,10.0,18.501193317061976,2212.473626437464,-30.771480251602167,0.0,-4130.626000743123,223.26267986907746,44.92361458799295,129.0340059005909,144.10733180534197,152.2084089309323
12,10.0,18.3,2353.9243332096685,-27.334182995579976,0.0,-3169.054427136637,188.7403554208052,87.8869912018832,135.86759587650383,161.5983106769928,144.18239213959882,10.0,18.3,2225.12874412166,-31.65063781607552,0.0,-4203.035736654704,231.30941691376697,77.09902401065571,147.89812174048092,158.01587222864495,163.4828914489031
13,10.0,18.3,2337.3568011547786,-28.393250375021164,0.0,-3592.749062928772,210.45663541311586,87.75153659206912,139.69573523280042,174.88385644554495,154.16096439721642,10.0,18.3,2241.4494192873863,-33.31047110993924,0.0,-4426.428646087274,244.56254030808716,95.5006930573759,153.12000941209936,153.96893646356406,163.09829681638323
14,10.0,18.3,2344.8167905203777,-28.291592389063556,0.0,-3867.826852200221,224.30200205373805,82.06137910591453,134.58619874688216,185.67953863464126,148.2741265301403,10.0,18.3,2272.4791343354727,-36.2976018401965,0.0,-4381.00532467698,247.7842367029049,113.29365070337259,143.34966040714932,169.20233581800798,148.06037133680593
15,10.0,18.3,2392.44246793023,-30.986654067544517,0.0,-4133.142554961669,238.81045585174238,79.90560812558613,126.10368025979864,183.85935852988376,137.73278821641168,10.0,18.3,2316.155601399177,-39.31656834176977,0.0,-4455.09894725567,254.04028554081034,109.05341214764935,129.23839578722868,179.97181977477183,140.51119367888268
16,10.0,18.3,2415.5279870846,-38.36494218021204,435.99930269634683,-4113.858976117266,246.07003050319742,76.27825215882754,103.34462073165463,189.6736065155686,119.18021426200542,10.0,18.3,2345.758530541152,-47.73874029908297,341.76908404261684,-4319.29070815976,255.88668519883524,98.9594721924369,106.42957570630269,181.19843652827578,143.31248925275816
17,10.0,18.3,2371.5419119006547,-33.03648821951055,358.2903092437994,-4186.070452455171,249.5733420382856,67.90002425212714,74.00402197128892,193.91161424010184,116.71445205167393,10.0,18.3,2267.5585332949177,-35.17065430575103,308.70661788851055,-4418.507853477638,256.58762089738843,83.24546922438509,93.92179648362838,184.09443536375397,121.47231526371843
18,10.0,18.3,2413.359831898948,-28.033716239113666,404.92577443789554,-4339.16597876162,254.08618401671728,60.411543820148076,93.18642801256858,205.29465269693296,118.14760703261551,10.0,18.3,2343.806034388932,-36.94168313911426,351.1557897962894,-4485.5606858580195,261.23893205414026,70.10648867887396,111.92902202255165,194.16181162325123,129.5645083927504
19,10.0,18.3,2426.6733112770394,-38.97433407754023,433.93623443344944,-4465.1705123675065,263.9981266915505,47.14012411877786,98.74028205908112,226.58030404993272,120.55130035970369,10.0,18.3,2384.1284766811355,-44.71102551778522,333.82957880578687,-4691.492499127845,271.54615242181205,43.648178069446395,113.80197985762787,241.74426883114378,146.5165421846728
20,10.0,18.3,2807.1457801050483,-43.05978674056136,0.0,-3787.303328610459,225.3316699263071,50.70953863337925,83.83549415897473,146.97309269565628,99.36906847504193,10.0,18.3,2656.456089155963,-41.945013494910434,0.0,-4089.2334503796133,237.160978558947,59.24995206722765,102.16136993686578,168.65583837452823,91.9003593806341
21,10.0,18.3,2717.5820461884605,-38.684707954174385,0.0,-3618.982236563699,217.31981691652985,44.110024652911996,68.25955417572177,137.95031889098001,68.89322444809899,10.0,18.3,2581.441124764979,-37.359969508761516,0.0,-4454.681620259461,251.15224866274323,43.42572780834013,81.59358287281464,147.5360021198653,126.02684746819385
22,10.0,18.3,2569.763556936361,-37.71634889693344,0.0,-3477.6182540758246,211.75517332967897,20.121820307616847,63.1266543163611,124.51858151939636,72.61251061291027,10.0,18.3,2466.7114031473943,-36.71888570012269,0.0,-4171.520464124048,241.039464329771,18.19775842486785,71.1808018420678,149.3196189296261,102.30460009045396
23,10.0,18.3,2367.564901934968,-36.405560658663894,0.0,-3203.470104738987,198.96392580925794,8.437611301525383,57.99574192442944,114.30097580727502,67.16215507505336,10.0,18.3,2311.9342697249886,-36.4263355094397,0.0,-3756.8006688423193,224.33618301145282,-9.15571765779048,64.7817378451412,148.62211936045716,84.29990873151087
